RespondentID,Engage,Develop,Teamwork & Trust,Sustainable Engagement
1,10,6,5,10
2,16,12,5,15
3,14,10,8,11
4,14,11,10,12
5,12,8,6,8
6,25,27,20,19
7,33,22,19,23
8,12,8,6,11
9,19,9,10,16
10,15,19,12,13
11,16,8,5,8
12,12,7,5,9
13,50,30,21,28
14,20,18,14,26
15,21,18,7,18
16,19,10,10,14
17,15,9,8,11
18,18,15,10,13
19,17,8,7,10
20,15,6,9,18
21,10,7,5,8
22,11,11,3,12
23,24,18,13,19
24,23,15,11,23
25,20,22,15,19
26,13,7,5,8
27,18,13,6,13
28,17,12,11,10
29,11,6,6,9
30,17,13,4,12
31,18,7,8,12
32,20,14,9,19
33,11,7,5,9
34,10,7,6,8
35,10,7,5,10
36,18,12,8,15
37,19,12,11,9
38,12,6,5,8
39,14,11,6,11
40,31,23,14,23
41,10,6,5,12
42,20,16,11,16
43,20,14,8,15
44,12,7,6,13
45,17,15,10,17
46,12,7,5,12
47,29,19,17,22
48,10,6,5,8
49,22,12,8,13
50,16,11,5,15
51,21,12,10,15
52,32,22,16,19
53,12,14,6,14
54,23,14,10,16
55,24,13,12,17
56,28,13,18,28
57,18,13,11,20
58,0,0,0,0
59,36,21,19,25
60,24,15,8,13
61,22,11,7,13
62,30,14,16,25
63,29,22,22,20
64,31,20,17,23
65,33,22,12,19
66,22,11,9,12
67,39,21,16,22
68,17,7,8,10
69,15,6,8,10
70,34,18,14,16
71,11,9,6,8
72,32,23,17,25
73,28,13,16,27
74,28,10,16,20
75,38,21,18,28
76,31,16,9,15
77,35,16,17,21
78,40,20,4,24
79,24,12,14,18
80,18,9,9,13
81,29,18,17,21
82,20,12,9,17
83,37,18,18,24
84,20,9,8,20
85,24,11,8,12
86,22,11,14,13
87,7,3,2,4
88,32,18,13,17
89,15,6,6,11
90,7,4,2,4
91,21,9,11,16
92,12,7,5,10
93,33,15,14,23
94,45,29,23,28
95,31,15,12,25
96,27,8,7,15
97,24,16,14,18
98,32,20,12,12
99,27,11,7,16
100,20,10,4,11
101,24,13,10,15
102,25,9,8,16
103,21,9,3,11
104,23,12,14,16
105,34,18,5,20
106,23,14,9,16
107,16,10,13,16
108,20,16,12,12
109,12,10,5,12
110,32,14,10,19
111,29,15,10,20
112,23,11,13,16
113,15,9,9,12
114,27,19,11,17
115,23,12,10,15
116,23,14,11,16
117,34,17,15,31
118,27,17,13,20
119,26,10,8,18
120,39,22,16,23
121,14,7,6,9
122,29,15,11,15
123,30,12,9,11
124,34,17,9,17
125,38,9,15,19
126,31,19,16,16
127,30,16,12,21
128,22,12,11,19
129,38,22,14,24
130,26,18,14,17
131,15,5,6,7
132,29,11,14,13
133,24,13,11,14
134,23,18,8,16
135,24,19,12,15
136,32,20,17,21
137,42,23,20,22
138,23,16,10,21
139,30,18,17,23
140,10,6,5,8
141,41,19,19,23
142,13,8,8,11
143,16,10,8,12
144,18,7,5,11
145,38,13,18,21
146,18,9,6,11
147,15,11,11,13
148,29,16,12,20
149,16,8,6,9
150,41,22,14,25
