Team,IsHome,Opponent,Result,IsOT,TeamScore,OpponentScore,ResultDifferential,Year,Month,Season,Rest,2PPctAllowed,3PPctAllowed,PTSAllowed,ORBAllowed,DRBAllowed,TRBAllowed,STLAllowed,BLKAllowed,TOVForced,PFForced,PossAllowed,2PPct,3PPct,FTPct,PTS,ORB,DRB,TRB,STL,BLK,TOV,PF,Poss,DefRating,OffRating,oppmRest,2PPctAllowed_Opp,3PPctAllowed_Opp,PTSAllowed_Opp,ORBAllowed_Opp,DRBAllowed_Opp,TRBAllowed_Opp,STLAllowed_Opp,BLKAllowed_Opp,TOVForced_Opp,PFForced_Opp,PossAllowed_Opp,2PPct_Opp,3PPct_Opp,FTPct_Opp,PTS_Opp,ORB_Opp,DRB_Opp,TRB_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,Poss_Opp,DefRating_Opp,OffRating_Opp
ORL,1,HOU,0,0,94,96,-2,2008,1,2007,2,0.472828412,0.336923077,100,11.11428571,32.08571429,43.2,7.4,4.4,13.68571429,24.14285714,94.21214286,0.511848341,0.354948805,0.714009662,103.4,9.685714286,33.48571429,43.17142857,6.485714286,4.542857143,14.82857143,21.08571429,88.275,106.1434301,117.1339564,2,0.455648926,0.36,94.12121212,11.06060606,30.51515152,41.57575758,8.090909091,4.727272727,14.03030303,20.36363636,88.87954545,0.469785575,0.333333333,0.732526882,94.84848485,12.57575758,31.84848485,44.42424242,7.666666667,5.393939394,14.39393939,20.51515152,90.98181818,105.8974949,104.2499334
PHI,0,LAC,0,0,83,89,-6,2005,1,2004,2,0.470153496,0.319223986,99,12.44827586,31.82758621,44.27586207,8.310344828,5.172413793,16.5862069,24.68965517,90.30258621,0.451407329,0.342975207,0.77,97.03448276,12,29.86206897,41.86206897,8.896551724,3.75862069,15.68965517,24.82758621,91.03448276,109.6314116,106.5909091,2,0.448711205,0.368653422,94.51724138,12.93103448,26.20689655,39.13793103,7.896551724,4.344827586,13.65517241,24.44827586,92.19224138,0.480164863,0.333333333,0.776009792,94.72413793,11.03448276,29.24137931,40.27586207,7.620689655,5.206896552,15.89655172,23,84.03706897,102.5219042,112.7170891
MIL,1,IND,1,0,92,80,12,2000,12,2000,1,0.463897132,0.370491803,97.35294118,12,30.64705882,42.64705882,7,4.941176471,15.88235294,23.64705882,86.85735294,0.463255814,0.35504886,0.751308901,94.70588235,12.23529412,28.35294118,40.58823529,8,4.705882353,13.64705882,25.82352941,90.55588235,112.0837072,104.5828055,2,0.452358037,0.331896552,93.4375,12.375,30.25,42.625,7.9375,5.625,14.9375,23.625,89.225,0.465365854,0.333333333,0.739946381,92.25,11.75,31.375,43.125,7.8125,5.125,15.8125,24.25,86.4484375,104.7212104,106.7110091
SEA,0,UTA,0,0,80,95,-15,2002,1,2001,5,0.490573942,0.338187702,97.02702703,13.2972973,28.7027027,42,7.540540541,5.405405405,14.7027027,20.10810811,90.60743243,0.478062914,0.387820513,0.738680466,97.48648649,12.32432432,27.75675676,40.08108108,8.054054054,4.243243243,13.91891892,21.43243243,90.49121622,107.085064,107.7303307,2,0.458579882,0.380067568,94.81578947,11.94736842,26.34210526,38.28947368,9.315789474,6.815789474,16.05263158,25.47368421,86.38684211,0.472178683,0.333333333,0.766164748,96.44736842,13.34210526,29.31578947,42.65789474,8.736842105,6.684210526,16.42105263,23.26315789,88.45460526,109.7572121,109.0360057
HOU,0,CHO,1,0,109,93,16,2017,10,2017,2,0.459940653,0.392857143,101.1666667,8.166666667,33.33333333,41.5,6.833333333,4.5,13.83333333,19.66666667,88.55416667,0.620689655,0.303370787,0.823076923,106.3333333,8.833333333,36.33333333,45.16666667,8.166666667,5.5,14.83333333,20.66666667,87.45833333,114.2426951,121.5817056,2,0.474226804,0.323529412,99.6,9,36.8,45.8,8.8,3.6,12.4,25.2,95.45,0.468503937,0.335526316,0.704697987,99.2,9.2,40,49.2,4.6,4.4,15,16.8,89.555,104.3478261,110.7699179
BRK,0,SAS,0,0,75,102,-27,2015,10,2015,2,0.51754386,0.46,108.5,8.5,39,47.5,8,3.5,18.5,20,79.8375,0.448275862,0.2,0.697674419,87.5,9,29.5,38.5,8.5,5.5,14,17.5,90.2125,135.901049,96.99321048,2,0.4765625,0.342857143,93.5,6.5,32,38.5,6.5,5,17,18,79.7875,0.5,0.378378378,0.923076923,104,9.5,36.5,46,9,6.5,15.5,17,89.675,117.186276,115.9743518
LAL,1,NOP,0,0,112,119,-7,2017,10,2017,2,0.521276596,0.382978723,119,11,39.33333333,50.33333333,11.33333333,5.666666667,17,21.66666667,99.4,0.507317073,0.362318841,0.697368421,112,8.666666667,35.33333333,44,7.666666667,5.333333333,18,23.33333333,94.03333333,119.7183099,119.1066998,2,0.531073446,0.375,114.3333333,11.33333333,32.66666667,44,7.333333333,7.333333333,15.33333333,25.33333333,97.76666667,0.532934132,0.35483871,0.736111111,110,12.66666667,35.33333333,48,8.666666667,7,17.33333333,23.33333333,93.4,116.9451074,117.7730193
PHI,1,CHA,0,0,93,123,-30,2014,4,2013,2,0.508622571,0.371522095,110.0933333,11.98666667,35.45333333,47.44,9.293333333,6.933333333,16.33333333,20.62666667,94.21366667,0.472170877,0.310082063,0.709101382,98.88,11.85333333,31.37333333,43.22666667,9.306666667,4.026666667,16.78666667,22.30666667,93.728,116.8549503,105.4967566,2,0.468368237,0.376513317,97.44,9.666666667,33.69333333,43.36,6.213333333,5.093333333,12.86666667,20.92,89.529,0.467868988,0.352006056,0.740821918,96.81333333,9.413333333,32.88,42.29333333,6.053333333,5.146666667,11.62666667,18.21333333,91.27833333,108.836243,106.0638706
IND,1,CLE,0,0,99,111,-12,2002,4,2001,1,0.457017878,0.349826389,97.03896104,12.88311688,31.01298701,43.8961039,7.428571429,5.623376623,13.7012987,22.38961039,94.42077922,0.467846608,0.336851363,0.769964842,96.62337662,11.4025974,31.45454545,42.85714286,7.987012987,5.363636364,14.48051948,22.88311688,90.00941558,102.7728873,107.3480769,2,0.471195018,0.395535714,98.20779221,11.33766234,29.01298701,40.35064935,7.207792208,5.545454545,12.31168831,19.96103896,91.7974026,0.46106518,0.372384937,0.774488698,94.84415584,11.79220779,30.20779221,42,6.909090909,5.766233766,13.63636364,21.18181818,89.57857143,106.9831928,105.8781741
DEN,1,UTA,0,0,84,100,-16,2016,4,2015,2,0.498132005,0.372058087,104.962963,9.703703704,32.9382716,42.64197531,8.012345679,6.283950617,13.09876543,20.90123457,92.09382716,0.481667001,0.338373306,0.767382413,101.9259259,11.37037037,33.14814815,44.51851852,7.395061728,4.802469136,14.09876543,21.03703704,94.0382716,113.9739396,108.3877066,2,0.478467864,0.358683314,95.7625,9.325,30.575,39.9,7.9875,4.75,13.375,19.9625,86.4546875,0.486123348,0.357105124,0.745140389,97.775,10.825,32.5375,43.3625,7.7,5.2625,14.2375,20.2875,87.99625,110.7661166,111.1126895
MIN,1,DAL,0,0,78,88,-10,2016,4,2015,2,0.519702277,0.352790579,105.5974026,10.67532468,31.25974026,41.93506494,7.753246753,5.298701299,13.96103896,21.51948052,92.17954545,0.493202719,0.331194868,0.794673123,101.4805195,10.05194805,31.57142857,41.62337662,7.753246753,4.506493506,14.38961039,20.85714286,89.55681818,114.5562197,113.3141189,2,0.499889503,0.343719572,103.2207792,10.66233766,35.44155844,46.1038961,7.506493506,4.493506494,13.44155844,21.45454545,93.47012987,0.494369111,0.345888838,0.794947121,102.7792208,9.168831169,33.93506494,43.1038961,6.792207792,3.727272727,12.2987013,19.36363636,92.1487013,110.4318346,111.5362662
